Store ID,Store Name,Address,Service Area,State,Zip,Lat,Lon
31410,THAT HEALIN' FEELIN',,north-inland,CA,,33.594066,-117.23681
31294,THB COLLECTIVE,,moreno-valley,CA,,33.942466,-117.229672
30986,THC PRESENTS: CALI CLONES,,victorvillehigh-desert,CA,,34.586961,-117.126475
30716,THE AUTISM AND COMPASSIONATE CARE CONNECTION,,high-desert,CA,,34.507651,-117.322631
29961,THE BLUE DIAMOND CENTER,,pasadena,CA,,34.147785,-118.144516
29614,THE CANDY JOINT,,lake-elsinore,CA,,33.668077,-117.327262
31212,THE DANK REMEDY,,victorvillehigh-desert,CA,,34.586961,-117.126475
30461,THE FLORAL ELEMENT,,south-contra-costa,CA,,37.662431,-121.874679
31295,THE FLOWER POT,,long-beach,CA,,33.77005,-118.193739
30915,THE GOLDEN GRASSHOPPER,,oceansidecarlsbad,CA,,33.158093,-117.350594
30103,THE GREEN FAIRY,,la-habra,CA,,33.931958,-117.946173
29710,THE GREEN GUYS,,south-gatebellflowerartesia,CA,,33.881682,-118.117012
31130,THE GREEN STANDARD,,lake-elsinore,CA,,33.668077,-117.327262
31597,THE GUY TO KNOW COLLECTIVE,,barstowneedles,CA,,34.895796,-117.017283
31330,THE HIGH CLASS,,aliso-viejolaguna-beach,CA,,33.575,-117.725556
29933,THE HIGHER CUT,,pacific-beach,CA,,32.802458,-117.235585
31491,THE HONEY FLOWER COLLECTIVE,,north-inland,CA,,33.594066,-117.23681
31433,THE KINDEST COLLECTIVE,,high-desert,CA,,34.507651,-117.322631
31030,THE MEDICINE CABINET COLLECTIVE,,oceansidecarlsbad,CA,,33.158093,-117.350594
29631,THE MEDICINE MAN,,san-bernardino,CA,,34.108345,-117.289765
30469,THE OG CLINIC,,north-county,CA,,33.17205,-117.111602
31183,THE STRAIN TRAIN,,berkeley,CA,,37.871593,-122.272747
30286,THESTINKYGARDEN.COM,,ventura,CA,,34.274646,-119.229032
31681,TOP SHELF DELIVERIES OC,,south-oc,CA,,33.644752,-117.684551
31332,TOPS CANNABIS,,city-of-industry,CA,,34.019734,-117.958675
31618,TREEHOUSE HEALTH AND WELLNESS CENTER,,alameda-county-haywardtri-valley,CA,,37.765206,-122.241636
31195,TREES BY HEALTHY LIVING,,san-francisco,CA,,37.774929,-122.419416
29997,TRITOP MEDICAL,,stockton,CA,,37.957702,-121.29078
30180,TRUE HERBAL CARE,,stockton,CA,,37.957702,-121.29078
30182,TRUE MEDICAL,,north-county,CA,,33.17205,-117.111602
30186,TRUE MEDICAL,,oceansidecarlsbad,CA,,33.158093,-117.350594
30181,TRUE MEDICAL - OCEANSIDE,,oceansidecarlsbad,CA,,33.158093,-117.350594
31370,TWIN PEAKS DELIVERY,,south-oc,CA,,33.644752,-117.684551
31184,UHS,,moreno-valley,CA,,33.942466,-117.229672
31387,UNITED ALTERNATIVES,,yucaipa-beaumont,CA,,33.991831,-117.030972
30232,UPSC,,san-bernardino,CA,,34.108345,-117.289765
30532,URBN DELIVERY SERVICE,,sacramento,CA,,38.581572,-121.4944
30958,VALLEY HOLISTIC,,palm-springs,CA,,33.830296,-116.545292
30819,VAPED UP!,,long-beach,CA,,33.77005,-118.193739
31289,VAPEMEDS WELLNESS VAPING,,santa-clarita,CA,,34.391664,-118.542586
30614,VIP420SERVICES,,riverside,CA,,33.953349,-117.396156
29757,WAKE N BAKE,,the-foothils-sacramento,CA,,38.581572,-121.4944
29931,WEDELIVERWEDELIVER,,south-contra-costa,CA,,37.662431,-121.874679
30160,WEE-DELIVERY,,city-of-industry,CA,,34.019734,-117.958675
31048,WEST COAST MEDS,,oceansidecarlsbad,CA,,33.158093,-117.350594
30938,YOSEMITE DELIVERY SERVICE,,fresno,CA,,36.746842,-119.772587
31175,BEST COLORADO MEDS,4800 Lamar St.,Wheat Ridge,CO,80033,39.784656,-105.067104
